wardCode,wardName,councilCode,councilName,countryName
,Breydon,,Norfolk,England
,Gorleston,,Norfolk,England
,Lothingland,,Norfolk,England
,Magdalen,,Norfolk,England
,North Caister and Ormesby,,Norfolk,England
,South Caister and Bure,,Norfolk,England
,The Fleggs,,Norfolk,England
,Yarmouth Nelson and Southtown,,Norfolk,England
,Yarmouth North and Central,,Norfolk,England
