ward,name,party,sourceUrl,lastChecked
Wainbody,DOWNES Anthony Gavin,Trade Unionist and Socialist Coalition,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Wainbody,FATTAH Md Abdul,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Wainbody,GRAINGER Alex,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Wainbody,HEAVEN Mattie,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Wainbody,HODGES David Peter,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Wainbody,LORIMER Jim,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Wainbody,MORSHEAD James Frederick,Liberal Democrats - For a fair deal,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Wainbody,PARKER Heather Ann,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Wainbody,REDDY Pratibha,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Wainbody,SINGH Taj,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Wainbody,SUFYAN Iddrisu,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/15,30-04-2026
Whoberley,AKHTAR Pervez,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,BAKER Richard Owen,Trade Unionist and Socialist Coalition,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,BRYANT Amanda,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,CROOKES Diane Sylvia,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,ELY Nigel,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,EVANS Peter Michael,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,INNES Jayne,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,JONES Julie,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,KHATKAR Rambir Singh,Liberal Democrats - For a fair deal,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,PATEL Subhash,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,PATTERSON Anne,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,SIDHU William,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,THOMPSON Elizabeth,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Whoberley,WILLIAMS Glenn Michael,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/16,30-04-2026
Woodlands,AWOYEMI Saheed Babatunde,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,BRYANT Adrian,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,CLARK Dunc,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,DAY Martin,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,EMKE Lucy,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,LEONARD Jack Anthony Nicholas,Liberal Democrats - For a fair deal,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,LEPOIDEVIN Julia Elizabeth,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,MALE Peter Roger,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,MASON Jessica Florence,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,RIDER Thomas,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,RIDLEY Gary Christopher,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,ROGERS Ian Arthur,Coventry Citizens Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,SIM Lesley Clare,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,SMITH Sarah Stephanie,Trade Unionist and Socialist Coalition,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Woodlands,TAHIR Srosh,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/17,30-04-2026
Wyken,ABBOTT Faye,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,ARCHER Stephen Robert,Trade Unionist and Socialist Coalition,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,BEECHEY Frank,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,BROWN Maddie,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,BULLOCK Andrew William,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,COOPER Gary Ronald,Coventry Citizens Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,DHADDA Mohinder,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,HARRISON Mark,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,KALIANIDIS Ioannis,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,MCCAFFREY Jordan,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,MCCANN Dawn,Reform UK,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,MISAGHI Farzad,Conservative Party Candidate,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,NAGULESWARAN-CLARKE Kirthika,Green Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,SOARES Andre,Liberal Democrats - For a fair deal,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
Wyken,TAUSEEF Saeeda Saiqa,Labour Party,https://www.coventry.gov.uk/elections-voting/statements-persons-nominated/18,30-04-2026
